,SRC_ADD,DES_ADD,PKT_ID,FROM_NODE,TO_NODE,PKT_TYPE,PKT_SIZE,FLAGS,FID,SEQ_NUMBER,NUMBER_OF_PKT,NUMBER_OF_BYTE,NODE_NAME_FROM,NODE_NAME_TO,PKT_IN,PKT_OUT,PKT_R,PKT_DELAY_NODE,PKT_RATE,BYTE_RATE,PKT_AVG_SIZE,UTILIZATION,PKT_DELAY,PKT_SEND_TIME,PKT_RESEVED_TIME,FIRST_PKT_SENT,LAST_PKT_RESEVED,PKT_CLASS
4173,3.0,24.3,12899,21,23,tcp,7051,-------,0,-1,210,1480710,switch1,router,13.015243,13.025727999999999,13.040971,0.010485,23.16168,163313.002526,7051.0,0.014121000000000002,0.0667,13.0,13.0667,0.0,9.0667,HTTP-FLOOD
4586,6.0,24.6,59970,6,21,tcp,2532,-------,0,-1,210,531720,client-6,switch1,57.0,57.0,57.015243000000005,0.0,23.0816,58442.611888,2532.0,0.005071,0.098156,57.0,57.098156,0.0,9.098156,HTTP-FLOOD
4772,6.0,24.6,42926,21,23,tcp,6088,-------,0,-1,210,1278480,switch1,router,41.015243,41.041457,41.0567,0.026213999999999998,23.0816,140520.782453,6088.0,0.012193,0.098156,41.0,41.098156,0.0,9.098156,HTTP-FLOOD
5367,2.0,24.16,47186,2,21,tcp,48304,-------,0,-1,210,10143840,client-2,switch1,45.0,45.0,45.015243,0.0,23.188498000000003,1120097.206184,48304.0,0.096739,0.056214,45.0,45.056214000000004,0.0,9.056214,HTTP-FLOOD
5672,11.0,24.12,26796,11,22,tcp,63561,-------,0,-1,210,13347810,client-11,switch2,26.0,26.0,26.015242999999998,0.0,23.175081,1473031.323771,63561.0,0.127295,0.061457000000000005,26.0,26.061457,0.0,9.061457,HTTP-FLOOD
6869,8.0,24.9,36480,21,23,tcp,33578,-------,0,-1,210,7051380,switch1,router,35.015243,35.051942,35.067184999999995,0.036699,23.028518,773251.565281,33578.0,0.067247,0.119128,35.0,35.119128,0.0,9.119128,HTTP-FLOOD
7174,18.0,24.2,2136,23,24,tcp,3668,-------,0,-1,210,770280,router,server1,3.072428,3.119613,3.134856,0.047185000000000005,22.988868,84323.168313,3668.0,0.007345999999999999,0.134856,3.0,3.134856,0.0,9.134856,HTTP-FLOOD
7310,7.0,24.7,41834,7,21,tcp,44159,-------,0,-1,210,9273390,client-7,switch1,40.0,40.0,40.015243,0.0,23.055028,1018086.999138,44159.0,0.088438,0.108642,40.0,40.108641999999996,0.0,9.108642,HTTP-FLOOD
7685,14.0,24.15,45118,22,23,tcp,56850,-------,0,-1,210,11938500,switch2,router,43.015243,43.036214,43.051457,0.020971,23.094907,1312945.443012,56850.0,0.113854,0.092914,43.0,43.092914,0.0,9.092914,HTTP-FLOOD
8426,1.0,24.1,40737,21,23,tcp,15004,-------,0,-1,210,3150840,switch1,router,39.015243,39.015243,39.030485999999996,0.0,23.215379000000002,348323.540129,15004.0,0.030049,0.045728,39.0,39.045728000000004,0.0,9.045728,HTTP-FLOOD
9041,9.0,24.1,71768,23,24,tcp,40509,-------,0,-1,210,8506890,router,server1,68.072428,68.11437,68.129613,0.041942,23.00207,931790.865615,40509.0,0.08112799999999999,0.129613,68.0,68.129613,0.0,9.129613,HTTP-FLOOD
9949,10.0,24.11,52555,10,22,tcp,30853,-------,0,-1,210,6479130,client-10,switch2,50.0,50.0,50.015243,0.0,23.201929999999997,715849.161377,30853.0,0.06179,0.050970999999999995,50.0,50.050971000000004,0.0,9.050971,HTTP-FLOOD
10129,17.0,24.19,30079,23,24,tcp,46488,-------,0,-1,210,9762480,router,server1,29.067185,29.109128000000002,29.124370000000003,0.041943,23.015288,1069934.691381,46488.0,0.093102,0.12437000000000001,29.0,29.124370000000003,0.0,9.124369999999999,HTTP-FLOOD
10389,2.0,24.16,16070,23,24,tcp,12341,-------,0,-1,210,2591610,router,server1,16.035728,16.040971,16.056214,0.005243,23.188498000000003,286169.253509,12341.0,0.024716,0.056214,16.0,16.056214,0.0,9.056214,HTTP-FLOOD
10511,7.0,24.7,10719,7,21,tcp,50874,-------,0,-1,210,10683540,client-7,switch1,11.0,11.0,11.015243,0.0,23.055028,1172901.514847,50874.0,0.101886,0.108642,11.0,11.108642,0.0,9.108642,HTTP-FLOOD
10758,2.0,24.16,17162,2,21,tcp,50930,-------,0,-1,210,10695300,client-2,switch1,17.0,17.0,17.015242999999998,0.0,23.188498000000003,1180990.201866,50930.0,0.101998,0.056214,17.0,17.056214,0.0,9.056214,HTTP-FLOOD
10845,20.0,25.0,77750,20,21,tcp,55,-------,0,44,7085,389675,clienthttp,switch1,73.716605,73.716605,73.74724499999999,0.0,94.7212,5209.67,55.0,0.0037159999999999997,0.071283,73.716605,73.787888,1.201267,75.999728,HTTP-FLOOD
10942,8.0,24.9,8,8,21,tcp,11609,-------,0,-1,210,2437890,client-8,switch1,0.0,0.0,0.015243000000000001,0.0,23.028518,267338.061271,11609.0,0.02325,0.119128,0.0,0.119128,0.0,9.119128,HTTP-FLOOD
11110,6.0,24.6,49379,21,23,tcp,1982,-------,0,-1,210,416220,switch1,router,47.015243,47.041457,47.0567,0.026213999999999998,23.0816,45747.731738,1982.0,0.0039689999999999994,0.098156,47.0,47.098156,0.0,9.098156,HTTP-FLOOD
11346,20.0,25.0,71246,20,21,tcp,55,-------,0,44,7085,389675,clienthttp,switch1,67.544234,67.544234,67.574874,0.0,94.7212,5209.67,55.0,0.0037159999999999997,0.071283,67.544234,67.61551700000001,1.201267,75.999728,HTTP-FLOOD
12047,20.0,25.0,60879,20,21,tcp,55,-------,0,44,7085,389675,clienthttp,switch1,57.882749,57.882749,57.913389,0.0,94.7212,5209.67,55.0,0.0037159999999999997,0.071283,57.882749,57.954032,1.201267,75.999728,HTTP-FLOOD
13500,3.0,24.3,56776,3,21,tcp,8897,-------,0,-1,210,1868370,client-3,switch1,54.0,54.0,54.015243000000005,0.0,23.16168,206069.46297999998,8897.0,0.017818,0.0667,54.0,54.0667,0.0,9.0667,HTTP-FLOOD
13610,7.0,24.7,47,23,24,tcp,46829,-------,0,-1,210,9834090,router,server1,1.061942,1.093399,1.108642,0.031457,23.055028,1079643.924967,46829.0,0.09378500000000001,0.108642,1.0,1.108642,0.0,9.108642,HTTP-FLOOD
15678,20.0,25.0,73656,20,21,tcp,55,-------,0,44,7085,389675,clienthttp,switch1,69.762941,69.762941,69.793581,0.0,94.7212,5209.67,55.0,0.0037159999999999997,0.071283,69.762941,69.834224,1.201267,75.999728,HTTP-FLOOD
16117,4.0,24.4,34330,21,23,tcp,34523,-------,0,-1,210,7249830,switch1,router,33.015243,33.030971,33.046214,0.015728,23.134926,798687.037887,34523.0,0.06914,0.077185,33.0,33.077185,0.0,9.077185,HTTP-FLOOD
16273,14.0,24.15,10726,14,22,tcp,63248,-------,0,-1,210,13282080,client-14,switch2,11.0,11.0,11.015243,0.0,23.094907,1460706.6557540002,63248.0,0.126668,0.092914,11.0,11.092914,0.0,9.092914,HTTP-FLOOD
16492,10.0,24.11,34336,22,23,tcp,40945,-------,0,-1,210,8598450,switch2,router,33.015243,33.015243,33.030485999999996,0.0,23.201929999999997,950003.043872,40945.0,0.082001,0.050970999999999995,33.0,33.050971000000004,0.0,9.050971,HTTP-FLOOD
16768,20.0,25.0,62008,20,21,tcp,55,-------,0,44,7085,389675,clienthttp,switch1,58.928829,58.928829,58.95946899999999,0.0,94.7212,5209.67,55.0,0.0037159999999999997,0.071283,58.928829,59.000112,1.201267,75.999728,HTTP-FLOOD
16802,18.0,24.2,30080,18,22,tcp,63125,-------,0,-1,210,13256250,client-18,switch2,29.0,29.0,29.015242999999998,0.0,22.988868,1451172.30091,63125.0,0.126421,0.134856,29.0,29.134856,0.0,9.134856,HTTP-FLOOD
16978,3.0,24.3,54732,3,21,tcp,20669,-------,0,-1,210,4340490,client-3,switch1,52.0,52.0,52.015243,0.0,23.16168,478728.75467399997,20669.0,0.041394,0.0667,52.0,52.0667,0.0,9.0667,HTTP-FLOOD
17341,6.0,24.6,1032,23,24,tcp,27192,-------,0,-1,210,5710320,router,server1,2.0567,2.082914,2.098156,0.026213999999999998,23.0816,627634.874583,27192.0,0.054458000000000006,0.098156,2.0,2.098156,0.0,9.098156,HTTP-FLOOD
17455,3.0,24.3,3213,23,24,tcp,35876,-------,0,-1,210,7533960,router,server1,4.040971,4.051457,4.0667,0.010486,23.16168,830948.4156310001,35876.0,0.071849,0.0667,4.0,4.0667,0.0,9.0667,HTTP-FLOOD
17769,9.0,24.1,7483,23,24,tcp,19642,-------,0,-1,210,4124820,router,server1,8.072428,8.11437,8.129613,0.041942,23.00207,451806.664751,19642.0,0.039337000000000004,0.129613,8.0,8.129613,0.0,9.129613,HTTP-FLOOD
18754,9.0,24.1,49,23,24,tcp,42699,-------,0,-1,210,8966790,router,server1,1.0724280000000002,1.11437,1.129613,0.041942,23.00207,982165.399563,42699.0,0.08551399999999999,0.129613,1.0,1.129613,0.0,9.129613,HTTP-FLOOD
19204,10.0,24.11,62112,10,22,tcp,61432,-------,0,-1,210,12900720,client-10,switch2,59.0,59.0,59.015243000000005,0.0,23.201929999999997,1425340.993801,61432.0,0.123031,0.050970999999999995,59.0,59.050971,0.0,9.050971,HTTP-FLOOD
19596,13.0,24.14,68543,13,22,tcp,41987,-------,0,-1,210,8817270,client-13,switch2,65.0,65.0,65.015243,0.0,23.121571,970805.383759,41987.0,0.084088,0.082428,65.0,65.08242800000001,0.0,9.082428,HTTP-FLOOD
19843,16.0,24.18,16084,23,24,tcp,52701,-------,0,-1,210,11067210,router,server1,16.061942000000002,16.098642,16.113885,0.0367,23.041764999999998,1214324.078041,52701.0,0.105545,0.11388499999999999,16.0,16.113885,0.0,9.113885,HTTP-FLOOD
19964,11.0,24.12,56784,11,22,tcp,39985,-------,0,-1,210,8396850,client-11,switch2,54.0,54.0,54.015243000000005,0.0,23.175081,926655.613992,39985.0,0.080079,0.061457000000000005,54.0,54.061457,0.0,9.061457,HTTP-FLOOD
20266,5.0,24.5,32213,21,23,tcp,6554,-------,0,-1,210,1376340,switch1,router,31.015242999999998,31.036214,31.051457,0.020971,23.108231,151451.345455,6554.0,0.013125999999999999,0.087671,31.0,31.087671000000004,0.0,9.087671,HTTP-FLOOD
20558,7.0,24.7,27885,23,24,tcp,15576,-------,0,-1,210,3270960,router,server1,27.061942,27.093398999999998,27.108642,0.031457,23.055028,359105.12236599997,15576.0,0.031194,0.108642,27.0,27.108642,0.0,9.108642,HTTP-FLOOD
20770,1.0,24.1,2119,21,23,tcp,57239,-------,0,-1,210,12020190,switch1,router,3.015243,3.015243,3.0304860000000002,0.0,23.215379000000002,1328825.054213,57239.0,0.114633,0.045728,3.0,3.045728,0.0,9.045728,HTTP-FLOOD
21757,8.0,24.9,45112,8,21,tcp,25983,-------,0,-1,210,5456430,client-8,switch1,43.0,43.0,43.015243,0.0,23.028518,598349.973813,25983.0,0.052037,0.119128,43.0,43.119128,0.0,9.119128,HTTP-FLOOD
22606,19.0,24.21,5375,19,22,tcp,38473,-------,0,-1,210,8079330,client-19,switch2,6.0,6.0,6.015243,0.0,22.967447,883626.572942,38473.0,0.07705,0.14207999999999998,6.0,6.14208,0.0,9.143376,HTTP-FLOOD
24165,1.0,24.1,27879,21,23,tcp,18888,-------,0,-1,210,3966480,switch1,router,27.015242999999998,27.015242999999998,27.030486,0.0,23.215379000000002,438492.07051099994,18888.0,0.037827,0.045728,27.0,27.045728000000004,0.0,9.045728,HTTP-FLOOD
24314,13.0,24.14,41840,22,23,tcp,62178,-------,0,-1,210,13057380,switch2,router,40.015243,40.030971,40.046214,0.015728,23.121571,1437653.015251,62178.0,0.124525,0.082428,40.0,40.082428,0.0,9.082428,HTTP-FLOOD
24485,20.0,25.0,77615,23,25,tcp,55,-------,0,44,7085,389675,router,webcache,73.63744,73.63744,73.66808,0.0,94.7212,5209.67,55.0,0.0037159999999999997,0.071283,73.596797,73.66808,1.201267,75.999728,HTTP-FLOOD
24539,12.0,24.13,49385,12,22,tcp,30375,-------,0,-1,210,6378750,client-12,switch2,47.0,47.0,47.015243,0.0,23.148296,703129.495316,30375.0,0.060833000000000005,0.07194199999999999,47.0,47.071942,0.0,9.071942,HTTP-FLOOD
24653,13.0,24.14,5369,22,23,tcp,8822,-------,0,-1,210,1852620,switch2,router,6.015243,6.030971,6.046214,0.015728,23.121571,203978.49561800002,8822.0,0.017668,0.082428,6.0,6.082428,0.0,9.082428,HTTP-FLOOD
24869,8.0,24.9,45112,21,23,tcp,10029,-------,0,-1,210,2106090,switch1,router,43.015243,43.051942,43.067184999999995,0.036699,23.028518,230953.00340100002,10029.0,0.020085,0.119128,43.0,43.119128,0.0,9.119128,HTTP-FLOOD
25012,16.0,24.18,8582,23,24,tcp,8250,-------,0,-1,210,1732500,router,server1,9.061942,9.098642,9.113885,0.0367,23.041764999999998,190094.564502,8250.0,0.016522,0.11388499999999999,9.0,9.113885,0.0,9.113885,HTTP-FLOOD
25803,3.0,24.3,52548,3,21,tcp,55311,-------,0,-1,210,11615310,client-3,switch1,50.0,50.0,50.015243,0.0,23.16168,1281095.6577370001,55311.0,0.11077200000000001,0.0667,50.0,50.0667,0.0,9.0667,HTTP-FLOOD
26112,14.0,24.15,18266,22,23,tcp,48870,-------,0,-1,210,10262700,switch2,router,18.015242999999998,18.036214,18.051457,0.020971,23.094907,1128648.087951,48870.0,0.097873,0.092914,18.0,18.092914,0.0,9.092914,HTTP-FLOOD
26425,13.0,24.14,41840,23,24,tcp,64860,-------,0,-1,210,13620600,router,server1,40.046214,40.067184999999995,40.082428,0.020971,23.121571,1499665.067535,64860.0,0.129896,0.082428,40.0,40.082428,0.0,9.082428,HTTP-FLOOD
26445,7.0,24.7,7481,21,23,tcp,30955,-------,0,-1,210,6500550,switch1,router,8.015243,8.0467,8.061942,0.031457,23.055028,713668.404138,30955.0,0.06199400000000001,0.108642,8.0,8.108642,0.0,9.108642,HTTP-FLOOD
26589,12.0,24.13,31127,23,24,tcp,63350,-------,0,-1,210,13303500,router,server1,30.040971000000003,30.0567,30.071942,0.015729,23.148296,1466444.560602,63350.0,0.126872,0.07194199999999999,30.0,30.071942,0.0,9.071942,HTTP-FLOOD
27046,5.0,24.5,50432,23,24,tcp,51653,-------,0,-1,210,10847130,router,server1,48.051457,48.072428,48.087671,0.020971,23.108231,1193609.451751,51653.0,0.10344600000000001,0.087671,48.0,48.087671,0.0,9.087671,HTTP-FLOOD
27097,14.0,24.15,35393,14,22,tcp,48882,-------,0,-1,210,10265220,client-14,switch2,34.0,34.0,34.015243,0.0,23.094907,1128925.2268299998,48882.0,0.097897,0.092914,34.0,34.092914,0.0,9.092914,HTTP-FLOOD
27103,18.0,24.2,65283,18,22,tcp,55252,-------,0,-1,210,11602920,client-18,switch2,62.0,62.0,62.015243000000005,0.0,22.988868,1270180.9420969998,55252.0,0.110654,0.134856,62.0,62.134856000000006,0.0,9.134856,HTTP-FLOOD
27696,6.0,24.6,8572,23,24,tcp,16417,-------,0,-1,210,3447570,router,server1,9.0567,9.082914,9.098156,0.026213999999999998,23.0816,378930.631658,16417.0,0.032879000000000005,0.098156,9.0,9.098156,0.0,9.098156,HTTP-FLOOD
27733,1.0,24.1,8567,1,21,tcp,22973,-------,0,-1,210,4824330,client-1,switch1,9.0,9.0,9.015243,0.0,23.215379000000002,533326.891987,22973.0,0.046008,0.045728,9.0,9.045728,0.0,9.045728,HTTP-FLOOD
27750,15.0,24.17,19360,22,23,tcp,12877,-------,0,-1,210,2704170,switch2,router,19.015242999999998,19.041457,19.0567,0.026213999999999998,23.068307,297050.585172,12877.0,0.025789,0.103399,19.0,19.103399,0.0,9.103399000000001,HTTP-FLOOD
27781,18.0,24.2,23627,23,24,tcp,57768,-------,0,-1,210,12131280,router,server1,23.072428,23.119613,23.134856,0.047185000000000005,22.988868,1328020.93432,57768.0,0.115693,0.134856,23.0,23.134856,0.0,9.134856,HTTP-FLOOD
27910,8.0,24.9,46100,8,21,tcp,11598,-------,0,-1,210,2435580,client-8,switch1,44.0,44.0,44.015243,0.0,23.028518,267084.747577,11598.0,0.023228,0.119128,44.0,44.119128,0.0,9.119128,HTTP-FLOOD
28130,5.0,24.5,71764,23,24,tcp,1113,-------,0,-1,210,233730,router,server1,68.051457,68.072428,68.087671,0.020971,23.108231,25719.461015,1113.0,0.002229,0.087671,68.0,68.087671,0.0,9.087671,HTTP-FLOOD
29274,6.0,24.6,40742,23,24,tcp,54916,-------,0,-1,210,11532360,router,server1,39.0567,39.082914,39.098156,0.026213999999999998,23.0816,1267549.160511,54916.0,0.109981,0.098156,39.0,39.098156,0.0,9.098156,HTTP-FLOOD
29415,2.0,24.16,63193,21,23,tcp,18521,-------,0,-1,210,3889410,switch1,router,60.015243000000005,60.020486,60.035728000000006,0.005243,23.188498000000003,429474.170995,18521.0,0.037092,0.056214,60.0,60.056214000000004,0.0,9.056214,HTTP-FLOOD
29511,16.0,24.18,20348,22,23,tcp,18347,-------,0,-1,210,3852870,switch2,router,20.015242999999998,20.0467,20.061942000000002,0.031457,23.041764999999998,422747.26968800003,18347.0,0.036744,0.11388499999999999,20.0,20.113885,0.0,9.113885,HTTP-FLOOD
30458,12.0,24.13,62114,12,22,tcp,6414,-------,0,-1,210,1346940,client-12,switch2,59.0,59.0,59.015243000000005,0.0,23.148296,148473.171455,6414.0,0.012844999999999999,0.07194199999999999,59.0,59.07194200000001,0.0,9.071942,HTTP-FLOOD
31086,20.0,25.0,59751,21,23,tcp,55,-------,0,44,7085,389675,switch1,router,56.786986999999996,56.786986999999996,56.79699,0.0,94.7212,5209.67,55.0,0.0037159999999999997,0.071283,56.756347,56.827630000000006,1.201267,75.999728,HTTP-FLOOD
31641,6.0,24.6,69625,23,24,tcp,5910,-------,0,-1,210,1241100,router,server1,66.0567,66.082914,66.098156,0.026213999999999998,23.0816,136412.257605,5910.0,0.011836,0.098156,66.0,66.098156,0.0,9.098156,HTTP-FLOOD
32608,14.0,24.15,24719,22,23,tcp,28157,-------,0,-1,210,5912970,switch2,router,24.015242999999998,24.036214,24.051457,0.020971,23.094907,650283.286524,28157.0,0.056389999999999996,0.092914,24.0,24.092914,0.0,9.092914,HTTP-FLOOD
32769,19.0,24.21,2137,19,22,tcp,29213,-------,0,-1,210,6134730,client-19,switch2,3.0,3.0,3.015243,0.0,22.967447,670948.01745,29213.0,0.058504999999999995,0.145262,3.0,3.145262,0.0,9.143376,HTTP-FLOOD
33088,14.0,24.15,59978,14,22,tcp,25325,-------,0,-1,210,5318250,client-14,switch2,57.0,57.0,57.015243000000005,0.0,23.094907,584878.510893,25325.0,0.050719,0.092914,57.0,57.092914,0.0,9.092914,HTTP-FLOOD
35322,8.0,24.9,53645,21,23,tcp,20268,-------,0,-1,210,4256280,switch1,router,51.015243,51.051942,51.067184999999995,0.036699,23.028518,466741.99550699996,20268.0,0.040591,0.119128,51.0,51.119128,0.0,9.119128,HTTP-FLOOD
36803,11.0,24.12,34337,23,24,tcp,14947,-------,0,-1,210,3138870,router,server1,33.035728000000006,33.046214,33.061457,0.010486,23.175081,346397.93578400003,14947.0,0.029935000000000003,0.061457000000000005,33.0,33.061457,0.0,9.061457,HTTP-FLOOD
37454,11.0,24.12,69630,23,24,tcp,834,-------,0,-1,210,175140,router,server1,66.035728,66.046214,66.06145699999999,0.010486,23.175081,19328.017558,834.0,0.0016699999999999998,0.061457000000000005,66.0,66.06145699999999,0.0,9.061457,HTTP-FLOOD
37813,14.0,24.15,30076,14,22,tcp,50658,-------,0,-1,210,10638180,client-14,switch2,29.0,29.0,29.015242999999998,0.0,23.094907,1169941.78104,50658.0,0.101454,0.092914,29.0,29.092914,0.0,9.092914,HTTP-FLOOD
38997,10.0,24.11,57864,22,23,tcp,27664,-------,0,-1,210,5809440,switch2,router,55.015243000000005,55.015243000000005,55.030485999999996,0.0,23.201929999999997,641858.205048,27664.0,0.055402999999999994,0.050970999999999995,55.0,55.050971,0.0,9.050971,HTTP-FLOOD
39782,5.0,24.5,21430,5,21,tcp,12602,-------,0,-1,210,2646420,client-5,switch1,21.0,21.0,21.015242999999998,0.0,23.108231,291209.926064,12602.0,0.025238,0.087671,21.0,21.087671,0.0,9.087671,HTTP-FLOOD
40065,18.0,24.2,58893,23,24,tcp,24419,-------,0,-1,210,5127990,router,server1,56.072428,56.119613,56.134856000000006,0.047185000000000005,22.988868,561365.170945,24419.0,0.048904,0.134856,56.0,56.134856000000006,0.0,9.134856,HTTP-FLOOD
40392,13.0,24.14,37576,23,24,tcp,49853,-------,0,-1,210,10469130,router,server1,36.046214,36.067184999999995,36.082428,0.020971,23.121571,1152679.657906,49853.0,0.099841,0.082428,36.0,36.082428,0.0,9.082428,HTTP-FLOOD
40402,7.0,24.7,53644,23,24,tcp,18405,-------,0,-1,210,3865050,router,server1,51.061941999999995,51.093399,51.108641999999996,0.031457,23.055028,424327.797711,18405.0,0.036860000000000004,0.108642,51.0,51.108641999999996,0.0,9.108642,HTTP-FLOOD
40418,12.0,24.13,40748,12,22,tcp,57900,-------,0,-1,210,12159000,client-12,switch2,39.0,39.0,39.015243,0.0,23.148296,1340286.346628,57900.0,0.11595699999999999,0.07194199999999999,39.0,39.071942,0.0,9.071942,HTTP-FLOOD
40467,15.0,24.17,38671,23,24,tcp,28505,-------,0,-1,210,5986050,router,server1,37.0567,37.088156,37.103398999999996,0.031456,23.068307,657562.082031,28505.0,0.057087,0.103399,37.0,37.103398999999996,0.0,9.103399000000001,HTTP-FLOOD
40608,5.0,24.5,18257,23,24,tcp,1009,-------,0,-1,210,211890,router,server1,18.051457,18.072428,18.087671,0.020971,23.108231,23316.204999,1009.0,0.0020210000000000002,0.087671,18.0,18.087671,0.0,9.087671,HTTP-FLOOD
41611,4.0,24.4,21429,23,24,tcp,21583,-------,0,-1,210,4532430,router,server1,21.046214000000003,21.061942000000002,21.077185,0.015728,23.134926,499321.100099,21583.0,0.043225,0.077185,21.0,21.077185,0.0,9.077185,HTTP-FLOOD
42126,14.0,24.15,16082,22,23,tcp,50329,-------,0,-1,210,10569090,switch2,router,16.015242999999998,16.036214,16.051457,0.020971,23.094907,1162343.556752,50329.0,0.10079500000000001,0.092914,16.0,16.092914,0.0,9.092914,HTTP-FLOOD
42387,4.0,24.4,57858,21,23,tcp,61232,-------,0,-1,210,12858720,switch1,router,55.015243000000005,55.030970999999994,55.046214,0.015728,23.134926,1416597.766819,61232.0,0.12262999999999999,0.077185,55.0,55.077185,0.0,9.077185,HTTP-FLOOD
42601,3.0,24.3,27881,3,21,tcp,3204,-------,0,-1,210,672840,client-3,switch1,27.0,27.0,27.015242999999998,0.0,23.16168,74210.021287,3204.0,0.006417,0.0667,27.0,27.0667,0.0,9.0667,HTTP-FLOOD
43380,1.0,24.1,70671,1,21,tcp,22490,-------,0,-1,210,4722900,client-1,switch1,67.0,67.0,67.015243,0.0,23.215379000000002,522113.864136,22490.0,0.045041000000000005,0.045728,67.0,67.045728,0.0,9.045728,HTTP-FLOOD
43434,18.0,24.2,59982,18,22,tcp,13511,-------,0,-1,210,2837310,client-18,switch2,57.0,57.0,57.015243000000005,0.0,22.988868,310602.597348,13511.0,0.027058999999999996,0.134856,57.0,57.134856000000006,0.0,9.134856,HTTP-FLOOD
44214,18.0,24.2,42938,23,24,tcp,62653,-------,0,-1,210,13157130,router,server1,41.072428,41.119613,41.134856,0.047185000000000005,22.988868,1440321.555151,62653.0,0.125476,0.134856,41.0,41.134856,0.0,9.134856,HTTP-FLOOD
44552,1.0,24.1,18253,23,24,tcp,12605,-------,0,-1,210,2647050,router,server1,18.030486,18.030486,18.045728,0.0,23.215379000000002,292629.846929,12605.0,0.025244,0.045728,18.0,18.045728,0.0,9.045728,HTTP-FLOOD
44650,14.0,24.15,47198,14,22,tcp,4774,-------,0,-1,210,1002540,client-14,switch2,45.0,45.0,45.015243,0.0,23.094907,110255.084344,4774.0,0.009561,0.092914,45.0,45.092914,0.0,9.092914,HTTP-FLOOD
44855,15.0,24.17,48291,23,24,tcp,62653,-------,0,-1,210,13157130,router,server1,46.0567,46.088156,46.103398999999996,0.031456,23.068307,1445298.6186809998,62653.0,0.125476,0.103399,46.0,46.103398999999996,0.0,9.103399000000001,HTTP-FLOOD
46047,10.0,24.11,41837,23,24,tcp,46927,-------,0,-1,210,9854670,router,server1,40.030485999999996,40.035728000000006,40.050971000000004,0.005242,23.201929999999997,1088796.992058,46927.0,0.093981,0.050970999999999995,40.0,40.050971000000004,0.0,9.050971,HTTP-FLOOD
